layer_index,layer_name,metric,mean,std,median
0,0,l2_distance,12.433952354555691,3.41707581519628,11.660006523132324
0,0,cosine_similarity,0.8366062434388866,0.10795383321223571,0.8663742542266846
1,1,l2_distance,9.16296840373974,3.194841595137911,8.593483924865723
1,1,cosine_similarity,0.9005759345080685,0.07852260802568022,0.9221521615982056
2,2,l2_distance,8.790344094451731,2.949538817332091,8.326704025268555
2,2,cosine_similarity,0.9057188854943445,0.07234751413712981,0.9243655800819397
3,3,l2_distance,8.810777846763454,2.9986673557917993,8.309542655944824
3,3,cosine_similarity,0.9181207225541006,0.0628515856290577,0.9348514080047607
4,4,l2_distance,8.825955965232984,2.9074940365828716,8.318624496459961
4,4,cosine_similarity,0.9256467236281287,0.0552533557290802,0.9403133392333984
5,5,l2_distance,7.913282970911734,2.65598613650659,7.411764144897461
5,5,cosine_similarity,0.9413816785457034,0.04476530141809731,0.9536889791488647
6,6,l2_distance,7.679477396207638,2.71329588105649,7.101529121398926
6,6,cosine_similarity,0.9535395634182807,0.03726903201502189,0.9646267890930176
7,7,l2_distance,7.559844991346892,2.751085376430876,7.00683069229126
7,7,cosine_similarity,0.9464179037986198,0.043565902724519365,0.9592556953430176
8,8,l2_distance,7.374090495728871,2.7110984866078693,6.801653861999512
8,8,cosine_similarity,0.9461590860057503,0.04359305514729234,0.9594119787216187
9,9,l2_distance,7.896875319538427,2.76738843276412,7.303684234619141
9,9,cosine_similarity,0.9530693662344267,0.03609010882187764,0.9641683101654053
10,10,l2_distance,8.418551788167635,2.949284822722074,7.854156017303467
10,10,cosine_similarity,0.9590905015565048,0.031860137169988124,0.9683095812797546
11,11,l2_distance,9.941232041656082,3.237083647989239,9.330820083618164
11,11,cosine_similarity,0.9570615553872817,0.032976522865735707,0.9664010405540466
12,12,l2_distance,6.4975593558772395,1.988513422059791,6.134509563446045
12,12,cosine_similarity,0.8598252419168175,0.08910445460058951,0.884019672870636
